Class,SkillLine,SpellID,SpellName,UsageTag,CastTimeSec,CastMinimumSec,GCDSec,CooldownSec,CategoryCooldownSec,DurationSec,MaxDurationSec,RangeMinYd,RangeMaxYd,PowerCost,ShapeshiftMask,ShapeshiftExclude,RequiredTotems,RequiredReagents,EquippedItemClass,EquippedItemSubclass,EffectSummary
Paladin,Retribution,67,Vindication,utility/rank,0,0,,,,15,15,0,100,,,,,,,,"E0:effect=6,aura=137,base=-6,trigger=0"
Paladin,Retribution,7294,Retribution Aura,utility/rank,0,0,1.5,0,0,-0.001,-0.001,0,0,,0,0,,,,,"E0:effect=35,aura=15,base=4,trigger=0"
Paladin,Retribution,9452,Vindication,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=42,base=-1,trigger=67"
Paladin,Retribution,9799,Eye for an Eye,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=4,base=14,trigger=0"
Paladin,Retribution,10298,Retribution Aura,utility/rank,0,0,1.5,0,0,-0.001,-0.001,0,0,,0,0,,,,,"E0:effect=35,aura=15,base=7,trigger=0"
Paladin,Retribution,10299,Retribution Aura,utility/rank,0,0,1.5,0,0,-0.001,-0.001,0,0,,0,0,,,,,"E0:effect=35,aura=15,base=11,trigger=0"
Paladin,Retribution,10300,Retribution Aura,utility/rank,0,0,1.5,0,0,-0.001,-0.001,0,0,,0,0,,,,,"E0:effect=35,aura=15,base=15,trigger=0"
Paladin,Retribution,10301,Retribution Aura,utility/rank,0,0,1.5,0,0,-0.001,-0.001,0,0,,0,0,,,,,"E0:effect=35,aura=15,base=19,trigger=0"
Paladin,Retribution,19740,Blessing of Might,utility/rank,0,0,1.5,0,0,600,600,0,30,type0:20,,,,,,,"E0:effect=6,aura=99,base=19,trigger=0;E1:effect=6,aura=124,base=19,trigger=0"
Paladin,Retribution,19834,Blessing of Might,utility/rank,0,0,1.5,0,0,600,600,0,30,type0:30,,,,,,,"E0:effect=6,aura=99,base=34,trigger=0;E1:effect=6,aura=124,base=34,trigger=0"
Paladin,Retribution,19835,Blessing of Might,utility/rank,0,0,1.5,0,0,600,600,0,30,type0:45,,,,,,,"E0:effect=6,aura=99,base=54,trigger=0;E1:effect=6,aura=124,base=54,trigger=0"
Paladin,Retribution,19836,Blessing of Might,utility/rank,0,0,1.5,0,0,600,600,0,30,type0:60,,,,,,,"E0:effect=6,aura=99,base=84,trigger=0;E1:effect=6,aura=124,base=84,trigger=0"
Paladin,Retribution,19837,Blessing of Might,utility/rank,0,0,1.5,0,0,600,600,0,30,type0:85,,,,,,,"E0:effect=6,aura=99,base=114,trigger=0;E1:effect=6,aura=124,base=114,trigger=0"
Paladin,Retribution,19838,Blessing of Might,utility/rank,0,0,1.5,0,0,600,600,0,30,type0:110,,,,,,,"E0:effect=6,aura=99,base=154,trigger=0;E1:effect=6,aura=124,base=154,trigger=0"
Paladin,Retribution,20042,Improved Blessing of Might,passive/talent,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=3,trigger=0"
Paladin,Retribution,20045,Improved Blessing of Might,passive/talent,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=7,trigger=0"
Paladin,Retribution,20046,Improved Blessing of Might,passive/talent,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=11,trigger=0"
Paladin,Retribution,20047,Improved Blessing of Might,passive/talent,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=15,trigger=0"
Paladin,Retribution,20048,Improved Blessing of Might,passive/talent,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=19,trigger=0"
Paladin,Retribution,20049,Vengeance,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=42,base=0,trigger=20050"
Paladin,Retribution,20056,Vengeance,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=42,base=0,trigger=20052"
Paladin,Retribution,20057,Vengeance,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=42,base=0,trigger=20053"
Paladin,Retribution,20058,Vengeance,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=42,base=0,trigger=20054"
Paladin,Retribution,20059,Vengeance,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=42,base=0,trigger=20055"
Paladin,Retribution,20060,Deflection,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=47,base=0,trigger=0"
Paladin,Retribution,20061,Deflection,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=47,base=1,trigger=0"
Paladin,Retribution,20062,Deflection,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=47,base=2,trigger=0"
Paladin,Retribution,20063,Deflection,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=47,base=3,trigger=0"
Paladin,Retribution,20064,Deflection,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=47,base=4,trigger=0"
Paladin,Retribution,20066,Repentance,utility/rank,0,0,1.5,60,0,6,6,0,20,type0:60,,,,,,,"E0:effect=6,aura=12,base=0,trigger=0"
Paladin,Retribution,20091,Improved Retribution Aura,passive/talent,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=24,trigger=0"
Paladin,Retribution,20092,Improved Retribution Aura,passive/talent,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=49,trigger=0"
Paladin,Retribution,20101,Benediction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=-4,trigger=0"
Paladin,Retribution,20102,Benediction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=-7,trigger=0"
Paladin,Retribution,20103,Benediction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=-10,trigger=0"
Paladin,Retribution,20104,Benediction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=-13,trigger=0"
Paladin,Retribution,20105,Benediction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=108,base=-16,trigger=0"
Paladin,Retribution,20111,Two-Handed Weapon Specialization,passive/talent,0,0,,,,,,0,0,,,,,,2,354,"E0:effect=6,aura=79,base=1,trigger=0"
Paladin,Retribution,20112,Two-Handed Weapon Specialization,passive/talent,0,0,,,,,,0,0,,,,,,2,354,"E0:effect=6,aura=79,base=3,trigger=0"
Paladin,Retribution,20113,Two-Handed Weapon Specialization,passive/talent,0,0,,,,,,0,0,,,,,,2,354,"E0:effect=6,aura=79,base=5,trigger=0"
Paladin,Retribution,20117,Conviction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,2,173555,"E0:effect=6,aura=52,base=0,trigger=0"
Paladin,Retribution,20118,Conviction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,2,173555,"E0:effect=6,aura=52,base=1,trigger=0"
Paladin,Retribution,20119,Conviction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,2,173555,"E0:effect=6,aura=52,base=2,trigger=0"
Paladin,Retribution,20120,Conviction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,2,173555,"E0:effect=6,aura=52,base=3,trigger=0"
Paladin,Retribution,20121,Conviction,utility/rank,0,0,,,,-0.001,-0.001,0,0,,,,,,2,173555,"E0:effect=6,aura=52,base=4,trigger=0"
Paladin,Retribution,20162,Seal of the Crusader,damage,0,0,1.5,0,0,30,30,0,0,type0:40,,,,,,,"E0:effect=6,aura=99,base=58,trigger=0;E1:effect=6,aura=4,base=20187,trigger=0;E2:effect=6,aura=9,base=39,trigger=0"
Paladin,Retribution,20188,Judgement of the Crusader,damage,0,0,,,,20,20,0,100,,,,,,,,"E0:effect=6,aura=14,base=34,trigger=0;E1:effect=6,aura=197,base=-1,trigger=0"
Paladin,Retribution,20218,Sanctity Aura,utility/rank,0,0,1.5,0,0,-0.001,-0.001,0,0,,0,0,,,,,"E0:effect=35,aura=79,base=9,trigger=0;E1:effect=35,aura=79,base=-1,trigger=0"
Paladin,Retribution,20271,Judgement,damage,0,0,0,10,0,,,0,10,type0:5%,,,,,,,"E0:effect=77,aura=0,base=-1,trigger=0"
Paladin,Retribution,20300,Judgement of the Crusader,damage,0,0,,,,20,20,0,100,,,,,,,,"E0:effect=6,aura=14,base=57,trigger=0;E1:effect=6,aura=197,base=-1,trigger=0"
Paladin,Retribution,20301,Judgement of the Crusader,damage,0,0,,,,20,20,0,100,,,,,,,,"E0:effect=6,aura=14,base=91,trigger=0;E1:effect=6,aura=197,base=-1,trigger=0"
Paladin,Retribution,20302,Judgement of the Crusader,damage,0,0,,,,20,20,0,100,,,,,,,,"E0:effect=6,aura=14,base=126,trigger=0;E1:effect=6,aura=197,base=-1,trigger=0"
Paladin,Retribution,20303,Judgement of the Crusader,damage,0,0,,,,20,20,0,100,,,,,,,,"E0:effect=6,aura=14,base=160,trigger=0;E1:effect=6,aura=197,base=-1,trigger=0"
Paladin,Retribution,20305,Seal of the Crusader,damage,0,0,1.5,0,0,30,30,0,0,type0:65,,,,,,,"E0:effect=6,aura=99,base=107,trigger=0;E1:effect=6,aura=4,base=20299,trigger=0;E2:effect=6,aura=9,base=39,trigger=0"
Paladin,Retribution,20306,Seal of the Crusader,damage,0,0,1.5,0,0,30,30,0,0,type0:90,,,,,,,"E0:effect=6,aura=99,base=166,trigger=0;E1:effect=6,aura=4,base=20300,trigger=0;E2:effect=6,aura=9,base=39,trigger=0"
Paladin,Retribution,20307,Seal of the Crusader,damage,0,0,1.5,0,0,30,30,0,0,type0:125,,,,,,,"E0:effect=6,aura=99,base=253,trigger=0;E1:effect=6,aura=4,base=20301,trigger=0;E2:effect=6,aura=9,base=39,trigger=0"
Paladin,Retribution,20308,Seal of the Crusader,damage,0,0,1.5,0,0,30,30,0,0,type0:160,,,,,,,"E0:effect=6,aura=99,base=351,trigger=0;E1:effect=6,aura=4,base=20302,trigger=0;E2:effect=6,aura=9,base=39,trigger=0"
Paladin,Retribution,20335,Improved Seal of the Crusader,damage,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=107,base=0,trigger=0"
Paladin,Retribution,20336,Improved Seal of the Crusader,damage,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=107,base=1,trigger=0"
Paladin,Retribution,20337,Improved Seal of the Crusader,damage,0,0,,,,-0.001,-0.001,0,0,,,,,,,,"E0:effect=6,aura=107,base=2,trigger=0"
Paladin,Retribution,20375,Seal of Command,damage,0,0,1.5,0,0,30,30,0,0,type0:65,,,,,,,"E0:effect=6,aura=42,base=-1,trigger=20424;E1:effect=6,aura=4,base=20424,trigger=0"
Paladin,Retribution,20425,Judgement of Command,damage,0,0,,,,,,0,100,,,,,,,,"E0:effect=3,aura=0,base=20466,trigger=0"
Paladin,Retribution,20467,Judgement of Command,damage,0,0,,,,,,0,50000,,,,,,,,"E0:effect=2,aura=0,base=92,trigger=0"
Paladin,Retribution,20915,Seal of Command,damage,0,0,1.5,0,0,30,30,0,0,type0:110,,,,,,,"E0:effect=6,aura=42,base=-1,trigger=20424;E1:effect=6,aura=4,base=20961,trigger=0"
Paladin,Retribution,20918,Seal of Command,damage,0,0,1.5,0,0,30,30,0,0,type0:140,,,,,,,"E0:effect=6,aura=42,base=-1,trigger=20424;E1:effect=6,aura=4,base=20960,trigger=0"
Paladin,Retribution,20919,Seal of Command,damage,0,0,1.5,0,0,30,30,0,0,type0:180,,,,,,,"E0:effect=6,aura=42,base=-1,trigger=20424;E1:effect=6,aura=4,base=20966,trigger=0"
Paladin,Retribution,20920,Seal of Command,damage,0,0,1.5,0,0,30,30,0,0,type0:210,,,,,,,"E0:effect=6,aura=42,base=-1,trigger=20424;E1:effect=6,aura=4,base=20967,trigger=0"
