Class,Tree,TierID,ColumnIndex,TalentID,RankSpellIDs,RankSpellNames,UsageTag,PlaystyleTags,PrereqTalent0,RequiredSpellID
Druid,Feral Combat,0,1,796,16934;16935;16936;16937;16938,Ferocity;Ferocity;Ferocity;Ferocity;Ferocity,utility-or-rank,utility,0,0
Druid,Feral Combat,0,2,795,16858;16859;16860;16861;16862,Feral Aggression;Feral Aggression;Feral Aggression;Feral Aggression;Feral Aggression,utility-or-rank,utility,0,0
Druid,Feral Combat,1,0,799,16947;16948;16949,Feral Instinct;Feral Instinct;Feral Instinct,talent-passive,utility,0,0
Druid,Feral Combat,1,1,797,16940;16941,Brutal Impact;Brutal Impact,utility-or-rank,utility,0,0
Druid,Feral Combat,1,2,794,16929;16930;16931,Thick Hide;Thick Hide;Thick Hide,utility-or-rank,utility,0,0
Druid,Feral Combat,2,0,807,17002;24866,Feral Swiftness;Feral Swiftness,utility-or-rank,utility,0,0
Druid,Feral Combat,2,1,804,16979,Feral Charge,utility-or-rank,utility,0,0
Druid,Feral Combat,2,2,798,16942;16943;16944,Sharpened Claws;Sharpened Claws;Sharpened Claws,utility-or-rank,utility,0,0
Druid,Feral Combat,3,0,802,16966;16968,Shredding Attacks;Shredding Attacks,damage,single-target,0,0
Druid,Feral Combat,3,1,803,16972;16974;16975,Predatory Strikes;Predatory Strikes;Predatory Strikes,damage,single-target,0,0
Druid,Feral Combat,3,2,801,37116;37117,Primal Fury;Primal Fury,talent-passive,utility,798,0
Druid,Feral Combat,4,0,805,16998;16999,Savage Fury;Savage Fury,talent-passive,utility,0,0
Druid,Feral Combat,4,2,1162,16857,Faerie Fire (Feral),utility-or-rank,utility,0,0
Druid,Feral Combat,4,3,1792,33872;33873,Nurturing Instinct;Nurturing Instinct,talent-passive,utility,0,0
Druid,Feral Combat,5,1,808,17003;17004;17005;17006;24894,Heart of the Wild;Heart of the Wild;Heart of the Wild;Heart of the Wild;Heart of the Wild,utility-or-rank,utility,803,0
Druid,Feral Combat,5,2,1794,33853;33855;33856,Survival of the Fittest;Survival of the Fittest;Survival of the Fittest,utility-or-rank,utility,0,0
Druid,Feral Combat,6,0,1793,33851;33852;33957,Primal Tenacity;Primal Tenacity;Primal Tenacity,utility-or-rank,utility,0,0
Druid,Feral Combat,6,1,809,17007,Leader of the Pack,utility-or-rank,utility,0,0
Druid,Feral Combat,6,2,1798,34297;34300,Improved Leader of the Pack;Improved Leader of the Pack,talent-passive,utility,809,0
Druid,Feral Combat,7,2,1795,33859;33866;33867;33868;33869,Predatory Instincts;Predatory Instincts;Predatory Instincts;Predatory Instincts;Predatory Instincts,talent-passive,utility,0,0
Druid,Feral Combat,8,1,1796,33917,Mangle,damage,single-target,809,0
Druid,Restoration,0,1,821,17050;17051;17053;17054;17055,Improved Mark of the Wild;Improved Mark of the Wild;Improved Mark of the Wild;Improved Mark of the Wild;Improved Mark of the Wild,talent-passive,utility,0,0
Druid,Restoration,0,2,822,17056;17058;17059;17060;17061,Furor;Furor;Furor;Furor;Furor,utility-or-rank,utility,0,0
Druid,Restoration,1,0,824,17069;17070;17071;17072;17073,Naturalist;Naturalist;Naturalist;Naturalist;Naturalist,utility-or-rank,utility,0,0
Druid,Restoration,1,1,823,17063;17065;17066;17067;17068,Nature's Focus;Nature's Focus;Nature's Focus;Nature's Focus;Nature's Focus,talent-passive,utility,0,0
Druid,Restoration,1,2,826,16833;16834;16835,Natural Shapeshifter;Natural Shapeshifter;Natural Shapeshifter,utility-or-rank,utility,0,0
Druid,Restoration,2,0,829,17106;17107;17108,Intensity;Intensity;Intensity,utility-or-rank,utility,0,0
Druid,Restoration,2,1,841,17118;17119;17120;17121;17122,Subtlety;Subtlety;Subtlety;Subtlety;Subtlety,talent-passive,utility,0,0
Druid,Restoration,2,2,827,16864,Omen of Clarity,utility-or-rank,utility,0,0
Druid,Restoration,3,1,843,24968;24969;24970;24971;24972,Tranquil Spirit;Tranquil Spirit;Tranquil Spirit;Tranquil Spirit;Tranquil Spirit,utility-or-rank,utility,0,0
Druid,Restoration,3,2,830,17111;17112;17113,Improved Rejuvenation;Improved Rejuvenation;Improved Rejuvenation,healing,healing,0,0
Druid,Restoration,4,0,831,17116,Nature's Swiftness,utility-or-rank,utility,829,0
Druid,Restoration,4,1,828,17104;24943;24944;24945;24946,Gift of Nature;Gift of Nature;Gift of Nature;Gift of Nature;Gift of Nature,utility-or-rank,utility,0,0
Druid,Restoration,4,3,842,17123;17124,Improved Tranquility;Improved Tranquility,talent-passive,utility,0,0
Druid,Restoration,5,0,1788,33879;33880,Empowered Touch;Empowered Touch,talent-passive,utility,0,0
Druid,Restoration,5,2,825,17074;17075;17076;17077;17078,Improved Regrowth;Improved Regrowth;Improved Regrowth;Improved Regrowth;Improved Regrowth,healing,healing,830,0
Druid,Restoration,6,0,1797,34151;34152;34153,Living Spirit;Living Spirit;Living Spirit,utility-or-rank,utility,0,0
Druid,Restoration,6,1,844,18562,Swiftmend,utility-or-rank,utility,828,0
Druid,Restoration,6,2,1790,33881;33882;33883,Natural Perfection;Natural Perfection;Natural Perfection,utility-or-rank,utility,0,0
Druid,Restoration,7,1,1789,33886;33887;33888;33889;33890,Empowered Rejuvenation;Empowered Rejuvenation;Empowered Rejuvenation;Empowered Rejuvenation;Empowered Rejuvenation,healing,healing,0,0
Druid,Restoration,8,1,1791,33891,Tree of Life,utility-or-rank,utility,1789,0
Druid,Balance,0,0,762,16814;16815;16816;16817;16818,Starlight Wrath;Starlight Wrath;Starlight Wrath;Starlight Wrath;Starlight Wrath,damage,single-target,0,0
Druid,Balance,0,1,761,16689,Nature's Grasp,utility-or-rank,utility,0,339
Druid,Balance,0,2,921,17245;17247;17248;17249,Improved Nature's Grasp;Improved Nature's Grasp;Improved Nature's Grasp;Improved Nature's Grasp,talent-passive,utility,761,0
Druid,Balance,1,0,787,16918;16919;16920,Control of Nature;Control of Nature;Control of Nature,utility-or-rank,utility,0,0
Druid,Balance,1,1,1822,35363;35364,Focused Starlight;Focused Starlight,talent-passive,utility,0,0
Druid,Balance,1,2,763,16821;16822,Improved Moonfire;Improved Moonfire,talent-passive,utility,0,0
Druid,Balance,2,0,782,16836;16839;16840,Brambles;Brambles;Brambles,utility-or-rank,utility,0,0
Druid,Balance,2,2,788,5570,Insect Swarm,utility-or-rank,utility,0,0
Druid,Balance,2,3,764,16819;16820,Nature's Reach;Nature's Reach,utility-or-rank,utility,0,0
Druid,Balance,3,1,792,16909;16910;16911;16912;16913,Vengeance;Vengeance;Vengeance;Vengeance;Vengeance,utility-or-rank,utility,1822,0
Druid,Balance,3,2,784,16850;16923;16924,Celestial Focus;Celestial Focus;Celestial Focus,talent-passive,utility,0,0
Druid,Balance,4,0,1782,33589;33590;33591,Lunar Guidance;Lunar Guidance;Lunar Guidance,talent-passive,utility,0,0
Druid,Balance,4,1,789,16880,Nature's Grace,utility-or-rank,utility,0,0
Druid,Balance,4,2,783,16845;16846;16847,Moonglow;Moonglow;Moonglow,utility-or-rank,utility,0,0
Druid,Balance,5,1,790,16896;16897;16899;16900;16901,Moonfury;Moonfury;Moonfury;Moonfury;Moonfury,talent-passive,utility,789,0
Druid,Balance,5,2,1783,33592;33596,Balance of Power;Balance of Power,talent-passive,utility,0,0
Druid,Balance,6,0,1784,33597;33599;33956,Dreamstate;Dreamstate;Dreamstate,utility-or-rank,utility,0,0
Druid,Balance,6,1,793,24858,Moonkin Form,utility-or-rank,state-maintenance,0,0
Druid,Balance,6,2,1785,33600;33601;33602,Improved Faerie Fire;Improved Faerie Fire;Improved Faerie Fire,talent-passive,utility,0,0
Druid,Balance,7,1,1786,33603;33604;33605;33606;33607,Wrath of Cenarius;Wrath of Cenarius;Wrath of Cenarius;Wrath of Cenarius;Wrath of Cenarius,damage,single-target,0,0
Druid,Balance,8,1,1787,33831,Force of Nature,utility-or-rank,utility,0,0
Hunter,Beast Mastery,0,1,1382,19552;19553;19554;19555;19556,Improved Aspect of the Hawk;Improved Aspect of the Hawk;Improved Aspect of the Hawk;Improved Aspect of the Hawk;Improved Aspect of the Hawk,talent-passive,state-maintenance,0,0
Hunter,Beast Mastery,0,2,1389,19583;19584;19585;19586;19587,Endurance Training;Endurance Training;Endurance Training;Endurance Training;Endurance Training,utility-or-rank,utility,0,0
Hunter,Beast Mastery,1,0,1624,35029;35030,Focused Fire;Focused Fire,talent-passive,utility,0,0
Hunter,Beast Mastery,1,1,1381,19549;19550;19551,Improved Aspect of the Monkey;Improved Aspect of the Monkey;Improved Aspect of the Monkey,talent-passive,state-maintenance,0,0
Hunter,Beast Mastery,1,2,1395,19609;19610;19612,Thick Hide;Thick Hide;Thick Hide,utility-or-rank,utility,0,0
Hunter,Beast Mastery,1,3,1625,24443;19575,Improved Revive Pet;Improved Revive Pet,talent-passive,utility,0,0
Hunter,Beast Mastery,2,0,1384,19559;19560,Pathfinding;Pathfinding,utility-or-rank,utility,0,0
Hunter,Beast Mastery,2,1,1391,19596,Bestial Swiftness,utility-or-rank,utility,0,0
Hunter,Beast Mastery,2,2,1396,19616;19617;19618;19619;19620,Unleashed Fury;Unleashed Fury;Unleashed Fury;Unleashed Fury;Unleashed Fury,talent-passive,utility,0,0
Hunter,Beast Mastery,3,1,1385,19572;19573,Improved Mend Pet;Improved Mend Pet,talent-passive,utility,0,0
Hunter,Beast Mastery,3,2,1393,19598;19599;19600;19601;19602,Ferocity;Ferocity;Ferocity;Ferocity;Ferocity,utility-or-rank,utility,0,0
Hunter,Beast Mastery,4,0,1388,19578;20895,Spirit Bond;Spirit Bond,utility-or-rank,utility,0,0
Hunter,Beast Mastery,4,1,1387,19577,Intimidation,utility-or-rank,utility,0,0
Hunter,Beast Mastery,4,3,1390,19590;19592,Bestial Discipline;Bestial Discipline,utility-or-rank,utility,0,0
Hunter,Beast Mastery,5,0,1799,34453;34454,Animal Handler;Animal Handler,utility-or-rank,utility,0,0
Hunter,Beast Mastery,5,2,1397,19621;19622;19623;19624;19625,Frenzy;Frenzy;Frenzy;Frenzy;Frenzy,utility-or-rank,utility,1393,0
Hunter,Beast Mastery,6,0,1800,34455;34459;34460,Ferocious Inspiration;Ferocious Inspiration;Ferocious Inspiration,utility-or-rank,utility,0,0
Hunter,Beast Mastery,6,1,1386,19574,Bestial Wrath,damage,single-target,1387,0
Hunter,Beast Mastery,6,2,1801,34462;34464;34465,Catlike Reflexes;Catlike Reflexes;Catlike Reflexes,utility-or-rank,utility,0,0
Hunter,Beast Mastery,7,2,1802,34466;34467;34468;34469;34470,Serpent's Swiftness;Serpent's Swiftness;Serpent's Swiftness;Serpent's Swiftness;Serpent's Swiftness,utility-or-rank,utility,0,0
Hunter,Beast Mastery,8,1,1803,34692,The Beast Within,utility-or-rank,utility,1386,0
Hunter,Survival,0,0,1623,24293;24294;24295,Monster Slaying;Monster Slaying;Monster Slaying,utility-or-rank,utility,0,0
Hunter,Survival,0,1,1301,19151;19152;19153,Humanoid Slaying;Humanoid Slaying;Humanoid Slaying,utility-or-rank,utility,0,0
