"InferredClass","SkillLineID","SkillLine","SpellID","SpellName","AcquireMethod","MinSkillLineRank","ClassMask","RaceMask","SupercedesSpell","Flags"
"Paladin","184","Retribution","67","Vindication","0","1","2","0","0","0"
"Paladin","184","Retribution","7294","Retribution Aura","0","1","2","0","0","0"
"Paladin","184","Retribution","9452","Vindication","0","1","2","0","0","0"
"Paladin","184","Retribution","9799","Eye for an Eye","0","1","2","0","0","0"
"Paladin","184","Retribution","10298","Retribution Aura","0","1","2","0","7294","0"
"Paladin","184","Retribution","10299","Retribution Aura","0","1","2","0","10298","0"
"Paladin","184","Retribution","10300","Retribution Aura","0","1","2","0","10299","0"
"Paladin","184","Retribution","10301","Retribution Aura","0","1","2","0","10300","0"
"Paladin","184","Retribution","19740","Blessing of Might","0","1","2","0","0","0"
"Paladin","184","Retribution","19834","Blessing of Might","0","1","2","0","0","0"
"Paladin","184","Retribution","19835","Blessing of Might","0","1","2","0","0","0"
"Paladin","184","Retribution","19836","Blessing of Might","0","1","2","0","0","0"
"Paladin","184","Retribution","19837","Blessing of Might","0","1","2","0","0","0"
"Paladin","184","Retribution","19838","Blessing of Might","0","1","2","0","0","0"
"Paladin","184","Retribution","20042","Improved Blessing of Might","0","1","0","0","0","0"
"Paladin","184","Retribution","20045","Improved Blessing of Might","0","1","0","0","0","0"
"Paladin","184","Retribution","20046","Improved Blessing of Might","0","1","0","0","0","0"
"Paladin","184","Retribution","20047","Improved Blessing of Might","0","1","0","0","0","0"
"Paladin","184","Retribution","20048","Improved Blessing of Might","0","1","0","0","0","0"
"Paladin","184","Retribution","20049","Vengeance","0","1","0","0","0","0"
"Paladin","184","Retribution","20056","Vengeance","0","1","0","0","0","0"
"Paladin","184","Retribution","20057","Vengeance","0","1","0","0","0","0"
"Paladin","184","Retribution","20058","Vengeance","0","1","0","0","0","0"
"Paladin","184","Retribution","20059","Vengeance","0","1","0","0","0","0"
"Paladin","184","Retribution","20060","Deflection","0","1","0","0","0","0"
"Paladin","184","Retribution","20061","Deflection","0","1","0","0","0","0"
"Paladin","184","Retribution","20062","Deflection","0","1","0","0","0","0"
"Paladin","184","Retribution","20063","Deflection","0","1","0","0","0","0"
"Paladin","184","Retribution","20064","Deflection","0","1","0","0","0","0"
"Paladin","184","Retribution","20066","Repentance","0","1","2","0","0","0"
"Paladin","184","Retribution","20091","Improved Retribution Aura","0","1","0","0","0","0"
"Paladin","184","Retribution","20092","Improved Retribution Aura","0","1","0","0","0","0"
"Paladin","184","Retribution","20101","Benediction","0","1","0","0","0","0"
"Paladin","184","Retribution","20102","Benediction","0","1","0","0","0","0"
"Paladin","184","Retribution","20103","Benediction","0","1","0","0","0","0"
"Paladin","184","Retribution","20104","Benediction","0","1","0","0","0","0"
