"SkillLineID","SkillLine","CategoryID","InferredClass"
"6","Frost","7","Mage"
"8","Fire","7","Mage"
"26","Arms","7","Warrior"
"38","Combat","7","Rogue"
"39","Subtlety","7","Rogue"
"40","Poisons","7","Rogue"
"50","Beast Mastery","7","Hunter"
"51","Survival","7","Hunter"
"56","Holy","7","Priest"
"78","Shadow Magic","7","Priest"
"134","Feral Combat","7","Druid"
"163","Marksmanship","7","Hunter"
"184","Retribution","7","Paladin"
"188","Pet - Imp","7","Warlock"
"189","Pet - Felhunter","7","Warlock"
"203","Pet - Spider","7","Hunter"
"204","Pet - Voidwalker","7","Warlock"
"205","Pet - Succubus","7","Warlock"
"206","Pet - Infernal","7","Warlock"
"207","Pet - Doomguard","7","Warlock"
"208","Pet - Wolf","7","Hunter"
"209","Pet - Cat","7","Hunter"
"210","Pet - Bear","7","Hunter"
"211","Pet - Boar","7","Hunter"
"212","Pet - Crocilisk","7","Hunter"
"213","Pet - Carrion Bird","7","Hunter"
"214","Pet - Crab","7","Hunter"
"215","Pet - Gorilla","7","Hunter"
"217","Pet - Raptor","7","Hunter"
"218","Pet - Tallstrider","7","Hunter"
"236","Pet - Scorpid","7","Hunter"
"237","Arcane","7","Mage"
"251","Pet - Turtle","7","Hunter"
"253","Assassination","7","Rogue"
"256","Fury","7","Warrior"
"257","Protection","7","Warrior"
"261","Beast Training","7","Hunter"
"267","Protection","7","Paladin"
"270","Pet - Generic","7","Pet"
"354","Demonology","7","Warlock"
"355","Affliction","7","Warlock"
"373","Enhancement","7","Shaman"
"374","Restoration","7","Shaman"
"375","Elemental Combat","7","Shaman"
"573","Restoration","7","Druid"
"574","Balance","7","Druid"
"593","Destruction","7","Warlock"
"594","Holy","7","Paladin"
"613","Discipline","7","Priest"
"633","Lockpicking","7","Rogue"
"653","Pet - Bat","7","Hunter"
"654","Pet - Hyena","7","Hunter"
"655","Pet - Owl","7","Hunter"
"656","Pet - Wind Serpent","7","Hunter"
"761","Pet - Felguard","7","Warlock"
"763","Pet - Dragonhawk","7","Hunter"
"764","Pet - Nether Ray","7","Hunter"
"765","Pet - Sporebat","7","Hunter"
"766","Pet - Warp Stalker","7","Hunter"
"768","Pet - Serpent","7","Hunter"
