"ID","DifficultyID","Category","DefenseType","DispelType","Mechanic","PreventionType","StartRecoveryCategory","ChargeCategory","SpellID"
"70136","0","56","1","1","0","1","133","0","543"
"70151","0","56","1","0","0","1","133","0","633"
"70153","0","0","1","1","0","1","133","0","172"
"70156","0","0","1","0","0","1","133","0","403"
"70157","0","0","1","0","0","1","133","0","597"
"70158","0","0","1","0","0","1","133","0","598"
"70167","0","0","1","1","0","1","133","0","139"
"70173","0","511","1","0","0","1","133","0","556"
"70179","0","0","1","1","0","1","133","0","136"
"70186","0","37","1","1","29","1","133","0","498"
"70187","0","0","1","1","0","1","0","0","67"
"70189","0","0","1","0","0","1","133","0","126"
"70191","0","0","1","1","0","1","133","0","130"
"70192","0","0","1","1","0","1","133","0","132"
"70200","0","47","0","0","0","0","0","0","71"
"70205","0","0","1","0","0","1","133","0","585"
"70206","0","82","1","1","0","1","133","0","586"
"70207","0","0","1","0","0","1","133","0","587"
"70209","0","0","1","0","0","1","133","0","688"
"70210","0","0","1","0","0","1","133","0","99"
"70212","0","0","1","0","0","1","133","0","10"
"70218","0","0","1","1","0","1","133","0","467"
"70220","0","0","0","0","0","1","133","0","469"
"70222","0","0","1","1","0","1","133","0","116"
"70239","0","0","1","0","0","1","133","0","133"
"70240","0","0","1","0","0","1","133","0","143"
"70241","0","0","1","0","0","1","133","0","145"
"70244","0","0","1","1","0","1","133","0","546"
"70245","0","0","1","0","0","1","133","0","547"
"70246","0","0","1","0","0","1","133","0","548"
"70264","0","0","1","0","0","1","133","0","635"
"70274","0","37","1","1","29","1","133","0","642"
"70280","0","0","1","0","0","1","133","0","465"
"70285","0","0","1","1","0","1","133","0","589"
"70291","0","0","2","0","0","2","133","0","53"
"70295","0","1179","1","2","0","1","133","0","603"
"70306","0","0","1","1","0","1","133","0","689"
"70308","0","0","1","0","0","1","133","0","591"
"70317","0","0","1","1","7","1","133","0","339"
"70322","0","1145","0","0","0","1","133","0","724"
"70323","0","0","1","0","0","1","133","0","596"
"70325","0","0","1","1","0","1","133","0","552"
"70326","0","0","1","1","0","1","133","0","594"
"70336","0","0","3","0","0","2","0","0","75"
"70340","0","270","2","0","12","2","133","0","408"
"70344","0","85","1","0","0","1","133","0","421"
"70345","0","0","1","0","0","1","133","0","639"
"70349","0","0","1","0","0","1","133","0","526"
"70352","0","0","2","0","0","2","0","0","78"
"70355","0","44","0","0","0","2","0","0","100"
"70357","0","0","1","0","0","1","133","0","453"
"70360","0","35","1","1","0","1","133","0","122"
"70365","0","0","2","0","0","2","0","0","285"
"70374","0","0","1","1","0","1","133","0","602"
"70379","0","0","1","0","0","1","0","0","921"
"70384","0","0","1","0","0","1","133","0","913"
"70388","0","0","1","0","0","1","133","0","982"
"70390","0","0","1","0","0","1","133","0","984"
"70395","0","0","1","1","0","1","133","0","527"
"70396","0","0","1","1","0","1","133","0","528"
"70399","0","0","1","0","0","1","133","0","693"
"70401","0","32","1","1","12","1","133","0","853"
"70404","0","0","1","0","0","1","133","0","696"
"70414","0","1162","1","6","0","1","133","0","66"
"70422","0","0","1","0","0","1","133","0","697"
"70423","0","0","1","0","0","1","133","0","698"
"70425","0","85","2","0","0","2","133","0","779"
"70434","0","0","1","0","0","1","133","0","1026"
"70438","0","0","1","0","0","1","133","0","695"
"70442","0","85","2","0","0","2","133","0","780"
"70443","0","82","2","0","0","2","133","0","781"
"70444","0","85","1","0","0","1","133","0","930"
"70446","0","0","1","0","0","1","133","0","686"
"70447","0","0","1","1","0","1","133","0","707"
"70448","0","0","1","1","0","1","133","0","709"
"70449","0","0","1","0","0","1","133","0","647"
"70459","0","0","0","0","0","0","133","0","783"
"70460","0","0","1","0","0","1","133","0","687"
"70469","0","0","2","0","15","2","133","0","772"
"70470","0","0","1","0","0","1","133","0","915"
"70479","0","0","1","1","0","1","133","0","1094"
"70491","0","0","1","0","0","1","133","0","1042"
"70501","0","0","2","0","15","2","133","0","703"
"70508","0","0","1","0","0","1","133","0","529"
"70516","0","0","1","1","0","1","133","0","782"
"70517","0","0","1","0","0","1","133","0","943"
"70520","0","0","1","0","0","1","133","0","1002"
"70522","0","0","1","0","0","1","133","0","1004"
"70524","0","0","1","1","0","1","133","0","604"
"70525","0","0","1","1","1","1","133","0","605"
"70534","0","0","1","1","0","1","133","0","837"
"70544","0","88","2","0","0","2","133","0","72"
"70549","0","0","1","2","0","1","133","0","1714"
"70553","0","0","2","0","0","2","0","0","845"
"70564","0","0","1","0","0","1","133","0","691"
"70567","0","0","1","1","0","1","133","0","588"
"70568","0","0","1","1","0","1","133","0","1008"
"70570","0","0","1","2","0","1","133","0","1010"
"70578","0","0","0","0","0","0","133","0","883"
"70579","0","0","1","1","0","1","133","0","348"
"70580","0","82","1","0","0","1","0","0","355"
"70582","0","0","1","0","0","1","133","0","370"
"70585","0","109","2","0","3","2","133","0","676"
"70586","0","19","1","0","0","1","133","0","879"
"70590","0","0","1","0","0","1","133","0","712"
"70594","0","0","1","0","0","1","133","0","759"
"70597","0","132","2","0","0","2","133","0","871"
"70600","0","0","2","0","0","2","0","0","284"
"70611","0","0","1","0","0","1","133","0","755"
"70620","0","35","1","1","0","1","133","0","865"
"70626","0","0","1","1","0","1","133","0","1430"
