"ID","DifficultyID","CategoryRecoveryTime","RecoveryTime","StartRecoveryTime","AuraSpellID","SpellID"
"52899","0","30000","0","1500","0","543"
"52902","0","3600000","0","1500","0","633"
"52903","0","0","0","1500","0","172"
"52906","0","0","0","1500","0","403"
"52907","0","0","0","1500","0","597"
"52908","0","0","0","1500","0","598"
"52910","0","0","0","1500","0","139"
"52912","0","900000","0","1500","0","556"
"52913","0","0","0","1500","0","136"
"52917","0","300000","0","1500","0","498"
"52919","0","0","0","1500","0","126"
"52920","0","0","0","1500","0","130"
"52921","0","0","0","1500","0","132"
"52923","0","1000","0","0","0","71"
"52927","0","0","0","1500","0","585"
"52928","0","30000","0","1500","0","586"
"52929","0","0","0","1500","0","587"
"52931","0","0","0","1500","0","688"
"52932","0","0","0","1500","0","99"
"52933","0","0","0","1500","0","10"
"52935","0","0","0","1500","0","467"
"52937","0","0","0","1500","0","116"
"52944","0","0","0","1500","0","133"
"52945","0","0","0","1500","0","143"
"52946","0","0","0","1500","0","145"
"52949","0","0","0","1500","0","546"
"52950","0","0","0","1500","0","547"
"52951","0","0","0","1500","0","548"
"52957","0","0","0","1500","0","635"
"52959","0","300000","0","1500","0","642"
"52965","0","0","0","1500","0","465"
"52966","0","0","0","1500","0","589"
"52967","0","0","0","1000","0","53"
"52968","0","60000","0","1500","0","603"
"52976","0","0","0","1500","0","689"
"52978","0","0","0","1500","0","591"
"52980","0","0","0","1500","0","339"
"52981","0","360000","0","1500","0","724"
"52982","0","0","0","1500","0","596"
"52984","0","0","0","1500","0","552"
"52985","0","0","0","1500","0","594"
"52989","0","20000","0","1000","0","408"
"52993","0","6000","0","1500","0","421"
"52994","0","0","0","1500","0","639"
"52996","0","0","0","1500","0","526"
"53000","0","15000","0","0","0","100"
"53001","0","0","0","1500","0","453"
"53004","0","25000","0","1500","0","122"
"53011","0","0","0","1500","0","602"
"53014","0","0","0","1500","0","913"
"53015","0","0","0","1500","0","982"
"53016","0","0","0","1500","0","984"
"53017","0","0","0","1500","0","527"
"53018","0","0","0","1500","0","528"
"53020","0","0","0","1500","0","693"
"53021","0","60000","0","1500","0","853"
"53023","0","0","0","1500","0","696"
"53027","0","300000","0","1500","0","66"
"53029","0","0","0","1500","0","697"
"53030","0","0","0","1500","0","698"
"53032","0","0","0","1500","0","779"
"53036","0","0","0","1500","0","1026"
"53038","0","0","0","1500","0","695"
"53040","0","0","0","1500","0","780"
"53041","0","5000","0","1500","0","781"
"53042","0","6000","0","1500","0","930"
"53043","0","0","0","1500","0","686"
"53044","0","0","0","1500","0","707"
"53045","0","0","0","1500","0","709"
"53046","0","0","0","1500","0","647"
"53050","0","0","0","1500","0","783"
"53051","0","0","0","1500","0","687"
"53053","0","0","0","1500","0","772"
"53054","0","0","0","1500","0","915"
"53057","0","0","0","1500","0","1094"
"53059","0","0","0","1500","0","1042"
"53062","0","0","0","1000","0","703"
