"ID","DifficultyID","EffectIndex","Effect","EffectAmplitude","EffectAttributes","EffectAura","EffectAuraPeriod","EffectBasePoints","EffectBonusCoefficient","EffectChainAmplitude","EffectChainTargets","EffectDieSides","EffectItemType","EffectMechanic","EffectPointsPerResource","EffectPos_facing","EffectRealPointsPerLevel","EffectTriggerSpell","BonusCoefficientFromAP","PvpMultiplier","Coefficient","Variance","ResourceCoefficient","GroupSizeBasePointsCoefficient","EffectBasePointsF","EffectMiscValue_0","EffectMiscValue_1","EffectRadiusIndex_0","EffectRadiusIndex_1","EffectSpellClassMask_0","EffectSpellClassMask_1","EffectSpellClassMask_2","EffectSpellClassMask_3","ImplicitTarget_0","ImplicitTarget_1","SpellID"
"678894","0","0","6","0","0","69","0","164","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","4","0","0","0","0","0","0","0","1","0","543"
"678895","0","1","6","1","0","74","0","-1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","4","0","0","0","0","0","0","0","1","0","543"
"678913","0","0","67","0","0","0","0","-1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","21","0","633"
"678915","0","0","6","0","0","3","3000","9","0.06239999831","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","172"
"678918","0","0","2","0","0","0","0","12","0.13699999452","1","0","3","0","0","0","0","0.40000000596","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","403"
"678919","0","0","24","0","0","0","0","1","0","1","0","1","1113","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","597"
"678920","0","0","2","0","0","0","0","53","0.55400002003","1","0","9","0","0","0","0","0.89999997616","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","598"
"678932","0","0","6","0","0","8","3000","8","0.1099999994","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","21","0","139"
"678938","0","0","252","0","0","0","0","-1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","9","556"
"678944","0","0","6","0","0","8","3000","24","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","5","0","136"
"678953","0","0","6","0","0","25","0","-1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","498"
"678954","0","1","6","0","0","39","0","-1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","498"
"678955","0","2","6","0","0","39","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","126","0","0","0","0","0","0","0","1","0","498"
"678956","0","0","6","0","0","137","0","-6","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","-1","0","0","0","0","0","0","0","6","0","67"
"678959","0","0","28","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","4277","65","12","0","0","0","0","0","32","0","126"
"678960","0","1","6","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","126"
"678963","0","0","6","0","0","105","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","130"
"678964","0","0","6","0","0","19","0","999","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","21","0","132"
"678972","0","0","6","0","0","36","0","-1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","18","0","0","0","0","0","0","0","1","0","71"
"678981","0","0","2","0","0","0","0","12","0.1230000034","1","0","5","0","0","0","0","0.5","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","585"
"678982","0","0","6","0","0","103","0","-56","0","1","0","1","0","0","0","0","-3","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","586"
"678983","0","0","24","0","0","0","0","1","0","1","0","1","5349","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","587"
"678985","0","0","56","0","0","0","0","-1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","416","0","0","0","0","0","0","0","32","0","688"
"678986","0","0","6","0","0","99","0","-31","0","1","0","1","0","0","0","0","-1","0","0","1","0","0","0","1","0","0","0","13","0","0","0","0","0","22","15","99"
"678988","0","0","27","0","0","4","0","24","0.11900000274","1","0","1","0","0","0","0","0.10000000149","0","0","1","0","0","0","1","0","0","0","14","14","0","0","0","0","28","0","10"
"678994","0","0","6","0","0","15","0","2","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","21","0","467"
"678997","0","0","6","0","0","230","0","1079","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","9","0","0","0","0","0","20","0","469"
"679000","0","0","6","0","0","33","0","-41","0","1","0","1","0","11","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","116"
"679001","0","1","2","0","0","0","0","17","0.1630000025","1","0","3","0","0","0","0","0.5","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","116"
"679020","0","0","2","0","0","0","0","13","0.1230000034","1","0","9","0","0","0","0","0.60000002384","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","133"
"679021","0","1","6","0","0","3","2000","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","133"
"679022","0","0","2","0","0","0","0","30","0.27099999785","1","0","15","0","0","0","0","0.80000001192","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","143"
"679023","0","1","6","0","0","3","2000","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","143"
"679024","0","0","2","0","0","0","0","52","0.5","1","0","21","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","145"
"679025","0","1","6","0","0","3","2000","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","145"
"679028","0","0","6","0","0","104","0","-1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","21","0","546"
"679029","0","0","10","0","0","0","0","128","0.5","0.20000000298","0","27","0","0","0","0","1.5","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","45","0","547"
"679030","0","0","2","0","0","0","0","44","0.61599999666","1","0","9","0","0","0","0","0.69999998808","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","548"
"679053","0","0","10","0","0","0","0","38","0.20499999821","1","0","9","0","0","0","0","0.80000001192","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","21","0","635"
