"ID","DifficultyID","BaseLevel","MaxLevel","SpellLevel","MaxPassiveAuraLevel","SpellID"
"97395","0","20","29","20","0","543"
"97400","0","10","0","10","0","633"
"97402","0","4","9","4","0","172"
"97405","0","1","6","1","0","403"
"97406","0","12","21","12","0","597"
"97407","0","14","19","14","0","598"
"97410","0","8","13","8","0","139"
"97414","0","30","0","30","0","556"
"97415","0","12","0","12","0","136"
"97419","0","6","0","6","0","498"
"97421","0","22","0","22","0","126"
"97423","0","12","0","12","0","130"
"97424","0","26","0","26","0","132"
"97425","0","10","0","10","0","71"
"97430","0","1","6","1","0","585"
"97431","0","8","18","8","0","586"
"97432","0","6","15","6","0","587"
"97434","0","1","0","1","0","688"
"97435","0","10","20","10","0","99"
"97436","0","20","25","20","0","10"
"97438","0","6","0","6","0","467"
"97440","0","68","0","68","0","469"
"97442","0","4","8","4","0","116"
"97453","0","1","5","1","0","133"
"97454","0","6","10","6","0","143"
"97455","0","12","16","12","0","145"
"97458","0","28","0","28","0","546"
"97459","0","12","17","12","0","547"
"97460","0","14","19","14","0","548"
"97471","0","1","5","1","0","635"
"97473","0","34","0","34","0","642"
"97479","0","1","9","1","0","465"
"97481","0","4","0","4","0","589"
"97483","0","4","0","4","0","53"
"97486","0","60","69","60","0","603"
"97493","0","14","19","14","0","689"
"97495","0","6","11","6","0","591"
"97500","0","8","0","8","0","339"
"97501","0","40","46","40","0","724"
"97502","0","30","39","30","0","596"
"97504","0","32","0","32","0","552"
"97505","0","10","0","10","0","594"
"97510","0","1","0","1","0","75"
"97514","0","30","0","30","0","408"
"97518","0","32","37","32","0","421"
"97519","0","6","11","6","0","639"
"97521","0","16","0","16","0","526"
"97524","0","1","0","1","0","78"
"97526","0","4","0","4","0","100"
"97528","0","20","0","20","0","453"
"97530","0","10","15","10","0","122"
"97532","0","16","0","16","0","285"
"97540","0","30","0","30","0","602"
"97542","0","4","0","4","0","921"
"97544","0","18","23","18","0","913"
"97546","0","10","0","10","0","982"
"97547","0","22","27","22","0","984"
"97551","0","18","0","18","0","527"
"97552","0","14","32","14","0","528"
"97554","0","18","0","18","0","693"
"97555","0","8","0","8","0","853"
"97557","0","10","0","10","0","696"
"97563","0","68","0","68","0","66"
"97566","0","10","0","10","0","697"
"97567","0","20","0","20","0","698"
"97569","0","16","0","16","0","779"
"97573","0","22","27","22","0","1026"
"97575","0","6","11","6","0","695"
"97579","0","24","0","24","0","780"
"97580","0","20","30","20","0","781"
"97581","0","40","45","40","0","930"
"97582","0","1","5","1","0","686"
"97583","0","10","15","10","0","707"
"97584","0","30","35","30","0","709"
"97585","0","14","19","14","0","647"
"97595","0","30","0","30","0","783"
"97596","0","1","0","1","0","687"
"97600","0","4","0","4","0","772"
"97601","0","20","25","20","0","915"
"97604","0","20","25","20","0","1094"
"97613","0","30","35","30","0","1042"
"97618","0","14","0","14","0","703"
"97625","0","8","13","8","0","529"
"97627","0","14","0","14","0","782"
"97628","0","26","31","26","0","943"
"97629","0","14","0","14","0","1002"
"97630","0","30","35","30","0","1004"
"97631","0","12","0","12","0","604"
"97632","0","30","42","30","0","605"
"97633","0","14","18","14","0","837"
"97639","0","12","0","12","0","72"
"97644","0","26","0","26","0","1714"
"97646","0","20","0","20","0","845"
"97654","0","30","0","30","0","691"
"97656","0","12","0","12","0","588"
"97657","0","18","0","18","0","1008"
"97659","0","38","0","38","0","1010"
"97665","0","10","0","10","0","883"
"97666","0","1","5","1","0","348"
"97667","0","10","0","10","0","355"
"97669","0","12","0","12","0","370"
"97670","0","0","0","1","0","379"
"97671","0","18","0","18","0","676"
"97672","0","20","25","20","0","879"
"97674","0","20","0","20","0","712"
"97679","0","28","0","28","0","759"
"97681","0","28","0","28","0","871"
"97682","0","8","0","8","0","284"
"97688","0","12","0","12","0","755"
"97692","0","26","31","26","0","865"
"97695","0","16","21","16","0","1430"
"97701","0","24","29","24","0","939"
"97705","0","18","0","18","0","475"
"97706","0","18","0","18","0","1044"
"97707","0","24","0","24","0","905"
"97709","0","8","0","8","0","324"
"97710","0","1","5","1","0","331"
"97711","0","6","11","6","0","332"
"97713","0","32","0","32","0","1490"
"97720","0","50","0","50","0","1020"
"97721","0","8","12","8","0","205"
"97723","0","12","0","12","0","1108"
"97728","0","20","30","20","0","1735"
"97729","0","24","0","24","0","1075"
"97731","0","36","0","36","0","3034"
"97733","0","50","0","50","0","1122"
"97736","0","30","0","30","0","1760"
"97737","0","25","35","25","0","1754"
"97740","0","40","45","40","0","2060"
"97741","0","20","25","20","0","2061"
