ID,ChrSpecID,SpellID,TraitSubTreeID,Threshold,ItemSetID
1589,0,41659,0,2,476
1590,0,24461,0,3,476
1591,0,24462,0,5,476
1592,0,41831,0,2,477
1593,0,24465,0,3,477
1594,0,24467,0,5,477
1603,0,41770,0,2,475
1604,0,24457,0,3,475
1605,0,24460,0,5,475
1615,0,41733,0,5,161
1616,0,41732,0,3,161
1617,0,41731,0,2,161
1618,0,41730,0,4,161
1619,0,41838,0,2,241
1620,0,29068,0,3,536
1621,0,28787,0,8,528
1622,0,28789,0,6,528
1623,0,28775,0,2,528
1624,0,28774,0,4,528
1627,0,41906,0,2,391
1628,0,23047,0,3,391
1629,0,41905,0,6,391
1631,0,41830,0,2,465
1632,0,41823,0,2,466
1633,0,41821,0,2,478
1634,0,24469,0,3,478
1635,0,24471,0,5,478
1637,0,41756,0,2,384
1638,0,22738,0,3,384
1639,0,41755,0,6,384
1640,0,17332,0,2,65
1641,0,41709,0,2,341
1642,0,23025,0,4,341
1643,0,41708,0,6,341
1644,0,41703,0,2,342
1645,0,23044,0,4,342
1646,0,41702,0,6,342
1649,0,41815,0,2,346
1650,0,41814,0,6,346
1651,0,23047,0,4,346
1657,0,41809,0,6,551
1658,0,23218,0,4,551
1659,0,41808,0,2,551
1660,0,26111,0,3,495
1661,0,39420,0,3,472
1662,0,41639,0,2,472
1690,0,41799,0,2,549
1691,0,23044,0,4,549
1692,0,41798,0,6,549
1693,0,41853,0,2,487
1694,0,39486,0,3,487
1695,0,23554,0,3,203
1696,0,21741,0,5,203
1697,0,23553,0,8,203
1698,0,39507,0,5,205
1699,0,23556,0,8,205
1700,0,23557,0,3,205
1701,0,23572,0,5,207
1702,0,21895,0,3,207
1703,0,23573,0,8,207
1710,0,41766,0,6,392
1711,0,23047,0,3,392
1712,0,41765,0,2,392
1713,0,41849,0,2,484
1714,0,41643,0,3,484
1715,0,23048,0,4,548
1716,0,41797,0,6,548
1717,0,41796,0,2,548
1720,0,41726,0,2,124
1721,0,41725,0,3,124
1722,0,41724,0,4,124
1723,0,41723,0,5,124
1727,0,18979,0,2,142
1728,0,23863,0,3,142
1729,0,41845,0,4,142
1730,0,26172,0,3,508
1731,0,28829,0,4,529
1732,0,28830,0,8,529
1733,0,28831,0,2,529
1734,0,28746,0,6,529
1735,0,41718,0,2,480
1736,0,24483,0,5,480
1737,0,24482,0,3,480
1738,0,41777,0,2,482
1739,0,24489,0,3,482
1740,0,24491,0,5,482
1741,0,41855,0,2,488
1742,0,41854,0,3,488
1743,0,41885,0,2,474
1744,0,24456,0,3,474
1745,0,24431,0,5,474
1756,0,26135,0,3,506
1760,0,41789,0,2,546
1761,0,41788,0,6,546
1762,0,23025,0,4,546
1763,0,41807,0,2,544
1764,0,41806,0,6,544
1765,0,23302,0,4,544
1766,0,41697,0,2,540
1767,0,23044,0,4,540
1768,0,41696,0,6,540
1772,0,26117,0,5,499
1773,0,26116,0,3,499
1798,0,41851,0,2,485
1799,0,41850,0,3,485
1800,0,41764,0,2,397
1801,0,41763,0,6,397
1802,0,23218,0,3,397
1811,0,41681,0,2,121
1812,0,41645,0,3,121
1813,0,41680,0,4,121
