ID,NameSubtext_lang,Description_lang,AuraDescription_lang
1,,,
5,,"Instantly Kills the target.  I hope you feel good about yourself now.....",
10,"Rank 1","Ice shards pelt the target area doing ${$42208m1*8} Frost damage over $d.","$42208s1 Frost damage every $42208t1 $lsecond:seconds;."
11,,"Deals $s1 Frost damage to the target.",
17,"Rank 1","Draws on the soul of the party member to shield them, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.","Absorbs damage."
43,Racial,,
45,,"Knocks nearby enemies back.",
50,,"Dumps the dot variables of the current target to the console.",
53,"Rank 1","Backstab the target, causing $s2% weapon damage plus 15 to the target.  Must be behind the target.  Requires a dagger in the main hand.  Awards $s3 combo $lpoint:points;.",
56,,"Stuns target for $d.",Stunned.
65,,"Increases your melee haste rating by $s1 for $d.",
66,,"Fades the caster to invisibility over 5 sec, reducing threat each second.  The effect is cancelled if you perform or receive any actions.  While invisible, you can only see other invisible targets and those whom can see invisible.  Lasts $32612d.",Fading.
67,"Rank 1",,"All attributes reduced by $s1%."
71,,"A defensive combat stance.  Decreases damage taken by $7376s1% and damage caused by $7376s2%.  Increases threat generated.",
72,"Rank 1","Bashes the target with your shield for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.",
75,,"Automatically shoots the target until cancelled.","Firing at the target."
78,"Rank 1","A strong attack that increases melee damage by $s1 and causes a high amount of threat.",
81,Passive,"Gives a chance to dodge enemy melee attacks.",
87,QAE,"Makes you immune to all spell mechanics.  Used in Automation scripts to give the bot immunity to negative effects while still being able to interact with objects.","Immune to spell mechanics"
89,"Rank 1","Cripples the target, reducing movement speed by $s3%, increasing time between melee and ranged attacks by $s1%.  Lasts $d.","Movement speed reduced by $s3%.  Time between melee and ranged attacks increased by $s1%."
96,,"Increases the damage of your next melee swing by $s1 and causes the target to bleed","Bleeding for $s2 damage every $t2 seconds"
99,"Rank 1","The druid roars, decreasing nearby enemies' melee attack power by $s1.  Lasts $d.","Decreases melee attack power by $s1."
100,"Rank 1","Charge an enemy, generate $/10;s2 rage, and stun it for $7922d.  Cannot be used in combat.",
101,"Rank 1","Trips the enemy humanoid, causing $s2 damage and knocking the opponent down for $d.  Awards $s3 combo point.",
107,Passive,"Gives a chance to block enemy melee and ranged attacks.",
113,"Rank 1","Forms icy chains around the enemy, locking the target in place for $d.","Rooted in place."
116,"Rank 1","Launches a bolt of frost at the enemy, causing $s2 Frost damage and slowing movement speed by $s1% for $d.","Movement slowed by $s1%."
118,"Rank 1","Transforms the enemy into a sheep, forcing it to wander around for up to $d.  While wandering, the sheep cannot attack or cast spells but will regenerate very quickly.  Any damage will transform the target back into its normal form.  Only one target can be polymorphed at a time.  Only works on Beasts, Humanoids and Critters.","Cannot attack or cast spells.  Increased regeneration."
120,"Rank 1","Targets in a cone in front of the caster take $s2 Frost damage and are slowed by $s1% for $d.","Movement slowed by $s1%."
122,"Rank 1","Blasts enemies near the caster for $s1 Frost damage and freezes them in place for up to $d.  Damage caused may interrupt the effect.","Frozen in place."
126,Summon,"Summons an Eye of Kilrogg and binds your vision to it.  The eye moves quickly but is very fragile.","Controlling Eye of Kilrogg."
128,,"Dispels all harmful magic effects from the caster.",
130,,"Slows falling speed for $d.","Slows falling speed."
131,,"Allows the target to breathe underwater for $d.",Waterbreathing.
