ID,Attributes_0,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,Attributes_11,Attributes_12,Attributes_13,Attributes_14,Attributes_15,Attributes_16,DifficultyID,CastingTimeIndex,DurationIndex,RangeIndex,SchoolMask,Speed,LaunchDelay,MinDuration,SpellIconFileDataID,ActiveIconFileDataID,ContentTuningID,ShowFutureSpellPlayerConditionID,SpellID
26979,763625472,168,16389,269486080,128,393224,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,1,0,0,0,132156,0,0,0,43680
26980,763625472,168,16385,269486080,128,393224,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,1,0,0,0,136072,0,0,0,43681
33016,603979776,131208,4,0,128,0,0,0,0,1048576,0,0,0,0,0,0,0,0,1,4,13,1,0,0,0,133854,0,0,0,51120
39568,269582608,0,0,0,0,0,131072,0,4096,0,0,0,0,0,0,0,0,0,16,21,1,1,0,0,0,132249,0,0,0,58615
54030,-1451228800,268436512,268976133,68354048,8388736,393224,12292,1073741824,0,0,0,0,130,0,0,0,0,0,1,21,1,1,0,0,0,236395,0,0,0,74410
84568,-1384120320,1056,268976133,1245184,8388737,393224,12292,0,4096,0,0,0,0,0,0,0,0,0,1,21,1,1,0,0,0,236395,0,0,0,110310
132137,763363584,168,540677,269484032,4,393224,4096,0,0,0,0,0,0,0,0,0,0,0,1,3,6,64,0,0,0,132118,0,0,0,158263
160363,-1451229184,1056,268976133,1245184,8388736,393224,1060868,0,0,0,0,0,0,512,0,0,0,0,1,21,1,1,0,0,0,132487,0,0,0,186403
193020,763625472,168,16389,269484032,128,393224,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,1,0,0,0,132156,0,0,0,219003
193021,763625472,168,16385,269484032,128,393224,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,1,0,0,0,136072,0,0,0,219004
268738,696254720,1056,273170437,269681152,8388736,393224,4608,0,0,1048576,0,0,0,0,0,0,0,0,1,21,13,1,0,0,0,456563,0,0,0,262591
268751,696254720,1056,273170437,269681152,8388736,393224,4608,0,0,1048576,0,0,0,0,0,0,0,0,1,685,13,1,0,0,0,136243,0,0,0,262604
268788,696254720,1056,273170437,269681152,8388736,393224,4608,0,0,1048576,0,0,0,0,0,0,0,0,1,685,13,1,0,0,0,136243,0,0,0,262641
314056,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,4,0,0,0,135806,0,0,0,543
314057,262352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,1,0,0,0,132223,0,0,0,601
314058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,0,0,135817,0,0,0,134
