ID,Radius,RadiusPerLevel,RadiusMin,RadiusMax
7,2,0,0,2
8,5,0,0,5
9,20,0,0,20
10,30,0,0,30
11,45,0,0,45
12,100,0,0,100
13,10,0,0,10
14,8,0,0,8
15,3,0,0,3
16,1,0,0,1
17,13,0,0,13
18,15,0,0,15
19,18,0,0,18
20,25,0,0,25
21,35,0,0,35
22,200,0,0,200
23,40,0,0,40
24,65,0,0,65
25,70,0,0,70
26,4,0,0,4
27,50,0,0,50
28,50000,0,0,50000
29,6,0,0,6
30,500,0,0,500
31,80,0,0,80
32,12,0,0,12
33,99,0,0,99
35,55,0,0,55
36,0,0,0,0
37,7,0,0,7
38,21,0,0,21
39,34,0,0,34
40,9,0,0,9
41,150,0,0,150
42,11,0,0,11
43,16,0,0,16
44,0.5,0,0,0.5
45,10,0,4,10
46,5,0,5,10
47,15,0,10,15
48,60,0,0,60
431,0.25,0,0,0.25
