ID,SpellID,StanceBarOrder,ShapeshiftExclude_0,ShapeshiftExclude_1,ShapeshiftMask_0,ShapeshiftMask_1
39297,598,0,134217728,0,0,0
39299,139,0,134217728,0,-2147483648,0
39303,71,1,0,0,0,0
39304,585,0,134217728,0,0,0
39305,586,0,0,0,134217728,0
39306,99,0,0,0,144,0
39307,467,0,2,0,1073741824,0
39312,589,0,0,0,134217728,0
39313,591,0,134217728,0,0,0
39314,724,0,134217728,0,-2147483648,0
39315,596,0,134217728,0,-2147483648,0
39316,552,0,134217728,0,0,0
39317,594,0,0,0,134217728,0
39321,100,0,0,0,65536,0
39322,453,0,0,0,134217728,0
39324,602,0,0,0,134217728,0
39325,921,0,0,0,536870912,0
39326,984,0,134217728,0,0,0
39327,527,0,0,0,134217728,0
39328,528,0,134217728,0,0,0
39331,779,0,0,0,144,0
39332,780,0,0,0,144,0
39334,783,3,1073741826,0,0,0
39336,772,0,0,0,196608,0
39340,703,0,0,0,536870912,0
39343,782,0,2,0,1073741824,0
39345,1004,0,134217728,0,0,0
39346,605,0,0,0,134217728,0
39347,72,0,0,0,196608,0
39348,588,0,0,0,134217728,0
39350,355,0,0,0,131072,0
39351,676,0,0,0,131072,0
39355,871,0,0,0,131072,0
39356,1430,0,1073741824,0,2,0
39359,1735,0,0,0,144,0
39360,1075,0,2,0,1073741824,0
39362,2060,0,134217728,0,-2147483648,0
39363,2061,0,134217728,0,-2147483648,0
39364,1671,0,0,0,196608,0
39365,1672,0,0,0,196608,0
39366,1825,0,0,0,1,0
39367,27546,4,0,0,0,0
39370,27555,0,0,0,16384,0
39374,1244,0,0,0,134217728,0
39375,774,0,1073741824,0,2,0
39376,1082,0,0,0,1,0
39378,2791,0,0,0,134217728,0
39380,768,2,1073741826,0,0,0
39382,769,0,0,0,144,0
39383,770,0,2,0,1073741824,0
39386,2565,0,0,0,131072,0
39387,3029,0,0,0,1,0
39389,1680,0,0,0,262144,0
39391,988,0,0,0,134217728,0
39392,740,0,1073741824,0,2,0
39393,1066,1,1073741826,0,0,0
39396,1178,0,0,0,16,0
39397,1706,0,0,0,134217728,0
39398,976,0,0,0,134217728,0
39399,1243,0,0,0,134217728,0
39402,778,0,2,0,1073741824,0
39403,1245,0,0,0,134217728,0
39405,1058,0,1073741824,0,2,0
39406,2006,0,134217728,0,0,0
39409,996,0,134217728,0,-2147483648,0
39410,970,0,0,0,134217728,0
39411,1715,0,0,0,327680,0
39413,2908,0,2,0,1073741824,0
39414,2912,0,2,0,1073741824,0
39415,9592,0,0,0,134217728,0
39416,1850,0,0,0,1,0
39417,2944,0,0,0,134217728,0
39419,3747,0,0,0,134217728,0
39423,1126,0,1073741826,0,0,0
39425,3025,0,0,0,1,0
39426,2652,0,0,0,134217728,0
39431,2767,0,0,0,134217728,0
39432,1824,0,0,0,1,0
39433,2782,0,2,0,0,0
39436,2054,0,134217728,0,-2147483648,0
39437,2055,0,134217728,0,-2147483648,0
39440,2010,0,134217728,0,0,0
39441,1823,0,0,0,1,0
39442,2090,0,1073741824,0,2,0
39443,2893,0,1073741824,0,0,0
39444,2637,0,2,0,1073741824,0
39447,2096,0,0,0,134217728,0
39448,2050,0,134217728,0,-2147483648,0
39449,2052,0,134217728,0,-2147483648,0
39450,2070,0,0,0,536870912,0
39451,2091,0,1073741824,0,2,0
39452,2651,0,0,0,134217728,0
39453,2053,0,134217728,0,-2147483648,0
39455,1822,0,0,0,1,0
39457,1833,0,0,0,536870912,0
39459,3026,2,0,0,0,0
39460,3627,0,1073741824,0,2,0
39462,9492,0,0,0,1,0
39465,2458,2,0,0,0,0
39466,9490,0,0,0,144,0
39470,5186,0,1073741826,0,0,0
39472,5308,0,0,0,327680,0
39473,5187,0,1073741826,0,0,0
39474,5188,0,1073741826,0,0,0
39475,5185,0,1073741826,0,0,0
39476,6076,0,134217728,0,-2147483648,0
39477,5221,0,0,0,1,0
39478,6074,0,134217728,0,-2147483648,0
39479,6075,0,134217728,0,-2147483648,0
39480,5189,0,1073741826,0,0,0
39481,6060,0,134217728,0,0,0
39482,6064,0,134217728,0,-2147483648,0
39484,6077,0,134217728,0,-2147483648,0
39486,9889,0,1073741826,0,0,0
39488,5421,0,0,0,8,0
39489,5201,0,0,0,1,0
39490,6063,0,134217728,0,-2147483648,0
39491,5225,0,0,0,1,0
39494,9888,0,1073741826,0,0,0
39495,5180,0,2,0,1073741824,0
39496,5215,0,0,0,1,0
39497,5217,0,0,0,1,0
39498,5229,0,0,0,144,0
39499,5232,0,1073741826,0,0,0
39500,5176,0,2,0,1073741824,0
39501,5177,0,2,0,1073741824,0
39502,5178,0,2,0,1073741824,0
39503,5179,0,2,0,1073741824,0
39504,5420,0,0,0,2,0
39505,5209,0,0,0,144,0
39506,5211,0,0,0,144,0
39510,6554,0,0,0,262144,0
39516,9752,0,0,0,1,0
39518,5487,0,1073741826,0,0,0
39519,5234,0,1073741826,0,0,0
39521,9747,0,0,0,144,0
39522,6546,0,0,0,196608,0
39524,9749,0,2,0,1073741824,0
39525,9750,0,1073741824,0,2,0
39526,6078,0,134217728,0,-2147483648,0
39534,5570,0,2,0,1073741824,0
39539,6065,0,0,0,134217728,0
39546,7294,1,0,0,0,0
39548,6785,0,0,0,1,0
39549,6548,0,0,0,196608,0
39552,6770,0,0,0,536870912,0
39555,6783,0,0,0,1,0
39556,6572,0,0,0,131072,0
39557,6547,0,0,0,196608,0
39558,9745,0,0,0,144,0
39560,7384,0,0,0,65536,0
39562,7128,0,0,0,134217728,0
39564,6756,0,1073741826,0,0,0
39565,6552,0,0,0,262144,0
39575,6778,0,1073741826,0,0,0
39576,6780,0,2,0,1073741824,0
39577,6343,0,0,0,196608,0
39580,6178,0,0,0,65536,0
39581,6795,0,0,0,144,0
39583,6793,0,0,0,1,0
39584,6809,0,0,0,144,0
39588,6798,0,0,0,144,0
39589,6800,0,0,0,1,0
39590,1006,0,0,0,134217728,0
39591,7922,0,0,0,65536,0
39592,25999,0,0,0,144,0
39594,992,0,0,0,134217728,0
39595,7373,0,0,0,327680,0
39596,8949,0,2,0,1073741824,0
39598,6807,0,0,0,144,0
39600,7887,0,0,0,65536,0
39604,7402,0,0,0,65536,0
39606,8972,0,0,0,144,0
39607,8951,0,2,0,1073741824,0
39613,8955,0,2,0,1073741824,0
39614,6066,0,0,0,134217728,0
39615,7092,0,0,0,8192,0
39616,1079,0,0,0,1,0
39617,7379,0,0,0,131072,0
39620,7744,0,0,0,134217728,0
39621,7400,0,0,0,65536,0
39625,8676,0,0,0,536870912,0
39626,8104,0,0,0,134217728,0
39628,9493,0,0,0,1,0
39630,8129,0,0,0,134217728,0
39633,8105,0,0,0,134217728,0
39634,8106,0,0,0,134217728,0
39635,8631,0,0,0,536870912,0
39637,8632,0,0,0,536870912,0
39638,600,0,0,0,134217728,0
39641,8914,0,2,0,1073741824,0
39644,8204,0,0,0,196608,0
