ID,SpellID,RequiredTotemCategoryID_0,RequiredTotemCategoryID_1,Totem_0,Totem_1
12346,10015,13,0,0,0
12347,68,0,0,1963,0
12348,818,0,0,4471,0
12349,1842,0,0,5060,0
12350,1535,4,0,0,0
12351,1804,0,0,5060,0
12352,2575,11,0,0,0
12353,2576,11,0,0,0
12354,8880,13,0,0,0
12355,2663,13,0,0,0
12356,2664,13,0,0,0
12357,2666,13,0,0,0
12358,3297,13,0,0,0
12359,3515,13,0,0,0
12360,3295,13,0,0,0
12361,3296,13,0,0,0
12362,3495,13,0,0,0
12363,3496,13,0,0,0
12364,3955,13,14,0,0
12365,3956,14,0,0,0
12366,3957,13,14,0,0
12367,3958,13,0,0,0
12368,3502,13,0,0,0
12369,3494,13,0,0,0
12370,3503,13,0,0,0
12371,3959,13,14,0,0
12372,3960,13,14,0,0
12373,3961,13,14,0,0
12374,3504,13,0,0,0
12375,3505,13,0,0,0
12376,3333,13,0,0,0
12377,3938,13,0,0,0
12378,3491,13,0,0,0
12379,3492,13,0,0,0
12380,3493,13,0,0,0
12381,3932,13,14,0,0
12382,3336,13,0,0,0
12383,3934,14,0,0,0
12384,3936,13,14,0,0
12385,3294,13,0,0,0
12386,2673,13,0,0,0
12387,2675,13,0,0,0
12388,2662,13,0,0,0
12391,2668,13,0,0,0
12392,2670,13,0,0,0
12393,2484,2,0,0,0
12394,2671,13,0,0,0
12395,2672,13,0,0,0
12397,2661,13,0,0,0
12398,2667,13,0,0,0
12399,3922,13,0,0,0
12400,3923,13,0,0,0
12401,3924,13,0,0,0
12402,3925,13,0,0,0
12403,3926,13,14,0,0
12404,3962,13,0,0,0
12405,3321,13,0,0,0
12406,9269,13,14,0,0
12407,3979,14,15,0,0
12408,3928,13,14,0,0
12409,2737,13,0,0,0
12410,2738,13,0,0,0
12411,2739,13,0,0,0
12412,2740,13,0,0,0
12413,3506,13,0,0,0
12414,3292,13,0,0,0
12415,3511,13,0,0,0
12416,3599,4,0,0,0
12417,3293,13,0,0,0
12418,3334,13,0,0,0
12419,3965,13,14,0,0
12420,3966,14,15,0,0
12421,3937,13,0,0,0
12422,3954,13,14,0,0
12423,2741,13,0,0,0
12424,3950,13,14,0,0
12425,3323,13,0,0,0
12426,3971,13,14,0,0
12427,3330,13,0,0,0
12428,3331,13,0,0,0
12429,3967,13,14,0,0
12430,3968,13,14,0,0
12431,3969,13,14,0,0
12432,3507,13,0,0,0
12433,3508,13,0,0,0
12434,3963,13,14,0,0
12435,3513,13,0,0,0
12436,3564,11,0,0,0
12437,3497,13,0,0,0
12438,3498,13,0,0,0
12439,3500,13,0,0,0
12440,3944,13,14,0,0
12441,3319,13,0,0,0
12442,3324,13,0,0,0
12443,3939,13,14,0,0
12444,2742,13,0,0,0
12445,3941,13,0,0,0
12446,3942,13,14,0,0
12447,3325,13,0,0,0
12448,3328,13,0,0,0
12449,3501,13,0,0,0
12450,3977,14,0,0,0
12451,3978,14,0,0,0
12452,5266,0,0,5113,0
12453,5267,0,0,5110,0
12454,5268,0,0,5108,0
12456,5169,0,0,7997,0
12457,5730,2,0,0,0
12458,14293,6,0,0,0
12459,5394,5,0,0,0
12462,5264,0,0,5107,0
12463,5265,0,0,5109,0
12464,6495,3,0,0,0
12465,6517,13,0,0,0
12466,6392,2,0,0,0
12467,6620,0,0,5638,0
12468,6363,4,0,0,0
12469,6518,13,0,0,0
12470,6365,4,0,0,0
12471,6390,2,0,0,0
12472,7818,13,0,0,0
12473,6391,2,0,0,0
12474,6364,4,0,0,0
12475,5809,0,0,5251,0
12476,6671,0,0,5251,0
12478,7223,13,0,0,0
12479,5675,5,0,0,0
