"Class","Tree","TabID","TalentID","TierID","ColumnIndex","SpellID","SpellName","RankSpellIDs","RankSpellNames","PrereqTalent0","PrereqRank0","RequiredSpellID"
"Druid","Feral Combat","281","796","0","1","0",,"16934;16935;16936;16937;16938","Ferocity;Ferocity;Ferocity;Ferocity;Ferocity","0","0","0"
"Druid","Feral Combat","281","795","0","2","0",,"16858;16859;16860;16861;16862","Feral Aggression;Feral Aggression;Feral Aggression;Feral Aggression;Feral Aggression","0","0","0"
"Druid","Feral Combat","281","799","1","0","0",,"16947;16948;16949","Feral Instinct;Feral Instinct;Feral Instinct","0","0","0"
"Druid","Feral Combat","281","797","1","1","0",,"16940;16941","Brutal Impact;Brutal Impact","0","0","0"
"Druid","Feral Combat","281","794","1","2","0",,"16929;16930;16931","Thick Hide;Thick Hide;Thick Hide","0","0","0"
"Druid","Feral Combat","281","807","2","0","0",,"17002;24866","Feral Swiftness;Feral Swiftness","0","0","0"
"Druid","Feral Combat","281","804","2","1","0",,"16979","Feral Charge","0","0","0"
"Druid","Feral Combat","281","798","2","2","0",,"16942;16943;16944","Sharpened Claws;Sharpened Claws;Sharpened Claws","0","0","0"
"Druid","Feral Combat","281","802","3","0","0",,"16966;16968","Shredding Attacks;Shredding Attacks","0","0","0"
"Druid","Feral Combat","281","803","3","1","0",,"16972;16974;16975","Predatory Strikes;Predatory Strikes;Predatory Strikes","0","0","0"
"Druid","Feral Combat","281","801","3","2","0",,"37116;37117","Primal Fury;Primal Fury","798","2","0"
"Druid","Feral Combat","281","805","4","0","0",,"16998;16999","Savage Fury;Savage Fury","0","0","0"
"Druid","Feral Combat","281","1162","4","2","0",,"16857","Faerie Fire (Feral)","0","0","0"
"Druid","Feral Combat","281","1792","4","3","0",,"33872;33873","Nurturing Instinct;Nurturing Instinct","0","0","0"
"Druid","Feral Combat","281","808","5","1","0",,"17003;17004;17005;17006;24894","Heart of the Wild;Heart of the Wild;Heart of the Wild;Heart of the Wild;Heart of the Wild","803","2","0"
"Druid","Feral Combat","281","1794","5","2","0",,"33853;33855;33856","Survival of the Fittest;Survival of the Fittest;Survival of the Fittest","0","0","0"
"Druid","Feral Combat","281","1793","6","0","0",,"33851;33852;33957","Primal Tenacity;Primal Tenacity;Primal Tenacity","0","0","0"
"Druid","Feral Combat","281","809","6","1","0",,"17007","Leader of the Pack","0","0","0"
"Druid","Feral Combat","281","1798","6","2","0",,"34297;34300","Improved Leader of the Pack;Improved Leader of the Pack","809","0","0"
"Druid","Feral Combat","281","1795","7","2","0",,"33859;33866;33867;33868;33869","Predatory Instincts;Predatory Instincts;Predatory Instincts;Predatory Instincts;Predatory Instincts","0","0","0"
"Druid","Feral Combat","281","1796","8","1","0",,"33917","Mangle","809","0","0"
"Druid","Restoration","282","821","0","1","0",,"17050;17051;17053;17054;17055","Improved Mark of the Wild;Improved Mark of the Wild;Improved Mark of the Wild;Improved Mark of the Wild;Improved Mark of the Wild","0","0","0"
"Druid","Restoration","282","822","0","2","0",,"17056;17058;17059;17060;17061","Furor;Furor;Furor;Furor;Furor","0","0","0"
"Druid","Restoration","282","824","1","0","0",,"17069;17070;17071;17072;17073","Naturalist;Naturalist;Naturalist;Naturalist;Naturalist","0","0","0"
"Druid","Restoration","282","823","1","1","0",,"17063;17065;17066;17067;17068","Nature's Focus;Nature's Focus;Nature's Focus;Nature's Focus;Nature's Focus","0","0","0"
"Druid","Restoration","282","826","1","2","0",,"16833;16834;16835","Natural Shapeshifter;Natural Shapeshifter;Natural Shapeshifter","0","0","0"
"Druid","Restoration","282","829","2","0","0",,"17106;17107;17108","Intensity;Intensity;Intensity","0","0","0"
"Druid","Restoration","282","841","2","1","0",,"17118;17119;17120;17121;17122","Subtlety;Subtlety;Subtlety;Subtlety;Subtlety","0","0","0"
"Druid","Restoration","282","827","2","2","0",,"16864","Omen of Clarity","0","0","0"
"Druid","Restoration","282","843","3","1","0",,"24968;24969;24970;24971;24972","Tranquil Spirit;Tranquil Spirit;Tranquil Spirit;Tranquil Spirit;Tranquil Spirit","0","0","0"
"Druid","Restoration","282","830","3","2","0",,"17111;17112;17113","Improved Rejuvenation;Improved Rejuvenation;Improved Rejuvenation","0","0","0"
"Druid","Restoration","282","831","4","0","0",,"17116","Nature's Swiftness","829","2","0"
"Druid","Restoration","282","828","4","1","0",,"17104;24943;24944;24945;24946","Gift of Nature;Gift of Nature;Gift of Nature;Gift of Nature;Gift of Nature","0","0","0"
"Druid","Restoration","282","842","4","3","0",,"17123;17124","Improved Tranquility;Improved Tranquility","0","0","0"
"Druid","Restoration","282","1788","5","0","0",,"33879;33880","Empowered Touch;Empowered Touch","0","0","0"
"Druid","Restoration","282","825","5","2","0",,"17074;17075;17076;17077;17078","Improved Regrowth;Improved Regrowth;Improved Regrowth;Improved Regrowth;Improved Regrowth","830","2","0"
"Druid","Restoration","282","1797","6","0","0",,"34151;34152;34153","Living Spirit;Living Spirit;Living Spirit","0","0","0"
"Druid","Restoration","282","844","6","1","0",,"18562","Swiftmend","828","4","0"
"Druid","Restoration","282","1790","6","2","0",,"33881;33882;33883","Natural Perfection;Natural Perfection;Natural Perfection","0","0","0"
"Druid","Restoration","282","1789","7","1","0",,"33886;33887;33888;33889;33890","Empowered Rejuvenation;Empowered Rejuvenation;Empowered Rejuvenation;Empowered Rejuvenation;Empowered Rejuvenation","0","0","0"
"Druid","Restoration","282","1791","8","1","0",,"33891","Tree of Life","1789","4","0"
"Druid","Balance","283","762","0","0","0",,"16814;16815;16816;16817;16818","Starlight Wrath;Starlight Wrath;Starlight Wrath;Starlight Wrath;Starlight Wrath","0","0","0"
"Druid","Balance","283","761","0","1","0",,"16689","Nature's Grasp","0","0","339"
"Druid","Balance","283","921","0","2","0",,"17245;17247;17248;17249","Improved Nature's Grasp;Improved Nature's Grasp;Improved Nature's Grasp;Improved Nature's Grasp","761","0","0"
"Druid","Balance","283","787","1","0","0",,"16918;16919;16920","Control of Nature;Control of Nature;Control of Nature","0","0","0"
"Druid","Balance","283","1822","1","1","0",,"35363;35364","Focused Starlight;Focused Starlight","0","0","0"
"Druid","Balance","283","763","1","2","0",,"16821;16822","Improved Moonfire;Improved Moonfire","0","0","0"
"Druid","Balance","283","782","2","0","0",,"16836;16839;16840","Brambles;Brambles;Brambles","0","0","0"
"Druid","Balance","283","788","2","2","0",,"5570","Insect Swarm","0","0","0"
"Druid","Balance","283","764","2","3","0",,"16819;16820","Nature's Reach;Nature's Reach","0","0","0"
"Druid","Balance","283","792","3","1","0",,"16909;16910;16911;16912;16913","Vengeance;Vengeance;Vengeance;Vengeance;Vengeance","1822","1","0"
"Druid","Balance","283","784","3","2","0",,"16850;16923;16924","Celestial Focus;Celestial Focus;Celestial Focus","0","0","0"
"Druid","Balance","283","1782","4","0","0",,"33589;33590;33591","Lunar Guidance;Lunar Guidance;Lunar Guidance","0","0","0"
"Druid","Balance","283","789","4","1","0",,"16880","Nature's Grace","0","0","0"
"Druid","Balance","283","783","4","2","0",,"16845;16846;16847","Moonglow;Moonglow;Moonglow","0","0","0"
"Druid","Balance","283","790","5","1","0",,"16896;16897;16899;16900;16901","Moonfury;Moonfury;Moonfury;Moonfury;Moonfury","789","0","0"
"Druid","Balance","283","1783","5","2","0",,"33592;33596","Balance of Power;Balance of Power","0","0","0"
"Druid","Balance","283","1784","6","0","0",,"33597;33599;33956","Dreamstate;Dreamstate;Dreamstate","0","0","0"
"Druid","Balance","283","793","6","1","0",,"24858","Moonkin Form","0","0","0"
"Druid","Balance","283","1785","6","2","0",,"33600;33601;33602","Improved Faerie Fire;Improved Faerie Fire;Improved Faerie Fire","0","0","0"
"Druid","Balance","283","1786","7","1","0",,"33603;33604;33605;33606;33607","Wrath of Cenarius;Wrath of Cenarius;Wrath of Cenarius;Wrath of Cenarius;Wrath of Cenarius","0","0","0"
"Druid","Balance","283","1787","8","1","0",,"33831","Force of Nature","0","0","0"
"Hunter","Beast Mastery","361","1382","0","1","0",,"19552;19553;19554;19555;19556","Improved Aspect of the Hawk;Improved Aspect of the Hawk;Improved Aspect of the Hawk;Improved Aspect of the Hawk;Improved Aspect of the Hawk","0","0","0"
"Hunter","Beast Mastery","361","1389","0","2","0",,"19583;19584;19585;19586;19587","Endurance Training;Endurance Training;Endurance Training;Endurance Training;Endurance Training","0","0","0"
"Hunter","Beast Mastery","361","1624","1","0","0",,"35029;35030","Focused Fire;Focused Fire","0","0","0"
"Hunter","Beast Mastery","361","1381","1","1","0",,"19549;19550;19551","Improved Aspect of the Monkey;Improved Aspect of the Monkey;Improved Aspect of the Monkey","0","0","0"
"Hunter","Beast Mastery","361","1395","1","2","0",,"19609;19610;19612","Thick Hide;Thick Hide;Thick Hide","0","0","0"
"Hunter","Beast Mastery","361","1625","1","3","0",,"24443;19575","Improved Revive Pet;Improved Revive Pet","0","0","0"
"Hunter","Beast Mastery","361","1384","2","0","0",,"19559;19560","Pathfinding;Pathfinding","0","0","0"
"Hunter","Beast Mastery","361","1391","2","1","0",,"19596","Bestial Swiftness","0","0","0"
"Hunter","Beast Mastery","361","1396","2","2","0",,"19616;19617;19618;19619;19620","Unleashed Fury;Unleashed Fury;Unleashed Fury;Unleashed Fury;Unleashed Fury","0","0","0"
"Hunter","Beast Mastery","361","1385","3","1","0",,"19572;19573","Improved Mend Pet;Improved Mend Pet","0","0","0"
"Hunter","Beast Mastery","361","1393","3","2","0",,"19598;19599;19600;19601;19602","Ferocity;Ferocity;Ferocity;Ferocity;Ferocity","0","0","0"
"Hunter","Beast Mastery","361","1388","4","0","0",,"19578;20895","Spirit Bond;Spirit Bond","0","0","0"
"Hunter","Beast Mastery","361","1387","4","1","0",,"19577","Intimidation","0","0","0"
"Hunter","Beast Mastery","361","1390","4","3","0",,"19590;19592","Bestial Discipline;Bestial Discipline","0","0","0"
"Hunter","Beast Mastery","361","1799","5","0","0",,"34453;34454","Animal Handler;Animal Handler","0","0","0"
"Hunter","Beast Mastery","361","1397","5","2","0",,"19621;19622;19623;19624;19625","Frenzy;Frenzy;Frenzy;Frenzy;Frenzy","1393","4","0"
"Hunter","Beast Mastery","361","1800","6","0","0",,"34455;34459;34460","Ferocious Inspiration;Ferocious Inspiration;Ferocious Inspiration","0","0","0"
"Hunter","Beast Mastery","361","1386","6","1","0",,"19574","Bestial Wrath","1387","0","0"
"Hunter","Beast Mastery","361","1801","6","2","0",,"34462;34464;34465","Catlike Reflexes;Catlike Reflexes;Catlike Reflexes","0","0","0"
"Hunter","Beast Mastery","361","1802","7","2","0",,"34466;34467;34468;34469;34470","Serpent's Swiftness;Serpent's Swiftness;Serpent's Swiftness;Serpent's Swiftness;Serpent's Swiftness","0","0","0"
"Hunter","Beast Mastery","361","1803","8","1","0",,"34692","The Beast Within","1386","0","0"
"Hunter","Survival","362","1623","0","0","0",,"24293;24294;24295","Monster Slaying;Monster Slaying;Monster Slaying","0","0","0"
"Hunter","Survival","362","1301","0","1","0",,"19151;19152;19153","Humanoid Slaying;Humanoid Slaying;Humanoid Slaying","0","0","0"
"Hunter","Survival","362","1820","0","2","0",,"19498;19499;19500","Hawk Eye;Hawk Eye;Hawk Eye","0","0","0"
"Hunter","Survival","362","1621","0","3","0",,"19159;19160","Savage Strikes;Savage Strikes","0","0","0"
"Hunter","Survival","362","1304","1","0","0",,"19184;19387;19388","Entrapment;Entrapment;Entrapment","0","0","0"
"Hunter","Survival","362","1311","1","1","0",,"19295;19297;19298;19301;19300","Deflection;Deflection;Deflection;Deflection;Deflection","0","0","0"
"Hunter","Survival","362","1305","1","2","0",,"19228;19232;19233","Improved Wing Clip;Improved Wing Clip;Improved Wing Clip","0","0","0"
"Hunter","Survival","362","1306","2","0","0",,"19239;19245","Clever Traps;Clever Traps","0","0","0"
"Hunter","Survival","362","1622","2","1","0",,"19255;19256;19257;19258;19259","Survivalist;Survivalist;Survivalist;Survivalist;Survivalist","0","0","0"
"Hunter","Survival","362","1308","2","2","0",,"19263","Deterrence","0","0","0"
"Hunter","Survival","362","1322","3","0","0",,"19376;19377","Trap Mastery;Trap Mastery","0","0","0"
"Hunter","Survival","362","1310","3","1","0",,"19290;19294;24283","Surefooted;Surefooted;Surefooted","0","0","0"
"Hunter","Survival","362","1309","3","3","0",,"19286;19287","Improved Feign Death;Improved Feign Death","0","0","0"
"Hunter","Survival","362","1810","4","0","0",,"34494;34496","Survival Instincts;Survival Instincts","0","0","0"
"Hunter","Survival","362","1321","4","1","0",,"19370;19371;19373","Killer Instinct;Killer Instinct;Killer Instinct","0","0","0"
"Hunter","Survival","362","1312","4","2","0",,"19306","Counterattack","1308","0","0"
"Hunter","Survival","362","1809","5","0","0",,"34491;34492;34493","Resourcefulness;Resourcefulness;Resourcefulness","0","0","0"
"Hunter","Survival","362","1303","5","2","0",,"19168;19180;19181;24296;24297","Lightning Reflexes;Lightning Reflexes;Lightning Reflexes;Lightning Reflexes;Lightning Reflexes","0","0","0"
"Hunter","Survival","362","1811","6","0","0",,"34497;34498;34499","Thrill of the Hunt;Thrill of the Hunt;Thrill of the Hunt","0","0","0"
"Hunter","Survival","362","1325","6","1","0",,"19386","Wyvern Sting","1321","2","0"
"Hunter","Survival","362","1812","6","2","0",,"34500;34502;34503","Expose Weakness;Expose Weakness;Expose Weakness","1303","4","0"
"Hunter","Survival","362","1813","7","1","0",,"34506;34507;34508;34838;34839","Master Tactician;Master Tactician;Master Tactician;Master Tactician;Master Tactician","0","0","0"
"Hunter","Survival","362","1814","8","1","0",,"23989","Readiness","1813","4","0"
"Hunter","Marksmanship","363","1341","0","1","0",,"19407;19412;19413;19414;19415","Improved Concussive Shot;Improved Concussive Shot;Improved Concussive Shot;Improved Concussive Shot;Improved Concussive Shot","0","0","0"
"Hunter","Marksmanship","363","1344","0","2","0",,"19426;19427;19429;19430;19431","Lethal Shots;Lethal Shots;Lethal Shots;Lethal Shots;Lethal Shots","0","0","0"
"Hunter","Marksmanship","363","1343","1","1","0",,"19421;19422;19423;19424;19425","Improved Hunter's Mark;Improved Hunter's Mark;Improved Hunter's Mark;Improved Hunter's Mark;Improved Hunter's Mark","0","0","0"
"Hunter","Marksmanship","363","1342","1","2","0",,"19416;19417;19418;19419;19420","Efficiency;Efficiency;Efficiency;Efficiency;Efficiency","0","0","0"
"Hunter","Marksmanship","363","1818","2","0","0",,"34950;34954","Go for the Throat;Go for the Throat","0","0","0"
