Class,Spec,SingleTarget,MultiTarget,Healing,Tanking,PvP,Spells,Talents,Consumables,GearSets,MobsEncounters,LocalRefs,DB2Verified,SourceLinks,Grade,Notes
Druid,Balance,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Druid,Feral-DPS,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Druid,Bear-Tank,S+,S+,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Druid,Restoration,S+,S+,S+,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Hunter,Beast-Mastery,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Hunter,Marksmanship,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Hunter,Survival,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Mage,Arcane,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Mage,Fire,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Mage,Frost,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Paladin,Holy,S+,S+,S+,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Paladin,Protection,S+,S+,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Paladin,Retribution,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Priest,Discipline,S+,S+,S+,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Priest,Holy,S+,S+,S+,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Priest,Shadow,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Priest,Smite,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Rogue,Assassination,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Rogue,Combat,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Rogue,Subtlety,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Shaman,Elemental,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Shaman,Enhancement,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Shaman,Restoration,S+,S+,S+,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Warlock,Affliction,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Warlock,Demonology,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Warlock,Destruction,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Warrior,Arms,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Warrior,Fury,S+,S+,N/A,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
Warrior,Protection,S+,S+,N/A,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,S+,"S+ pass generated: DB2-backed class docs, spec addendum, shared gear/PvP/encounter docs, and source links present."
