Spec Name,File Structure (25%),Code Quality (25%),Flux Compliance (30%),TBC Accuracy (20%),Overall %,Rating
Warrior Fury,100,95,90,100,95.5,Excellent
Warrior Arms,100,95,90,100,95.5,Excellent
Warrior Protection,100,95,90,100,95.5,Excellent
Paladin Retribution,100,90,85,100,93,Excellent
Paladin Protection,100,85,80,100,89,Very Good
Paladin Holy,100,90,85,100,93,Excellent
Hunter Beast Mastery,100,100,100,100,100,Excellent
Hunter Marksmanship,100,100,100,100,100,Excellent
Hunter Survival,100,100,100,100,100,Excellent
Rogue Combat,100,95,90,100,95.5,Excellent
Rogue Assassination,100,95,90,100,95.5,Excellent
Rogue Subtlety,100,95,90,100,95.5,Excellent
Priest Shadow,100,85,75,100,88,Very Good
Priest Discipline,100,90,85,100,93,Excellent
Priest Holy,100,90,85,100,93,Excellent
Priest Smite,100,90,85,100,93,Excellent
Mage Arcane,100,90,85,100,93,Excellent
Mage Fire,100,85,80,100,89,Very Good
Mage Frost,100,85,80,100,89,Very Good
Warlock Affliction,100,95,95,100,97,Excellent
Warlock Demonology,100,95,90,100,96,Excellent
Warlock Destruction,100,95,90,100,96,Excellent
Shaman Elemental,100,95,90,100,96,Excellent
Shaman Enhancement,100,90,90,100,95,Excellent
Shaman Restoration,100,95,85,100,95.5,Excellent
Druid Balance,100,95,90,100,95.5,Excellent
Druid Bear,100,95,95,100,96.5,Excellent
Druid Feral,100,90,90,100,93,Excellent
Druid Restoration,100,95,95,100,96.5,Excellent
